index,analog,restored
321,9.90769,9
322,9.13051,9
323,8.37527,9
324,7.66007,7
325,7,7
326,6.40674,7
327,5.88837,5
328,5.44927,5
329,5.09016,5
330,4.80828,5
331,4.59769,5
332,4.44963,5
333,4.35306,5
334,4.29514,5
335,4.26194,5
336,4.23896,5
337,4.21182,5
338,4.16688,5
339,4.09172,5
340,3.97574,3
341,3.81048,3
342,3.58998,3
343,3.31098,3
344,2.97299,3
345,2.57829,3
346,2.13177,3
347,1.64067,1
348,1.11426,1
349,0.563383,1
350,-2.94287e-15,-1
351,-0.563383,-1
352,-1.11426,-1
353,-1.64067,-1
354,-2.13177,-3
355,-2.57829,-3
356,-2.97299,-3
357,-3.31098,-3
358,-3.58998,-3
359,-3.81048,-3
360,-3.97574,-3
361,-4.09172,-5
362,-4.16688,-5
363,-4.21182,-5
364,-4.23896,-5
365,-4.26194,-5
366,-4.29514,-5
367,-4.35306,-5
368,-4.44963,-5
369,-4.59769,-5
370,-4.80828,-5
371,-5.09016,-5
372,-5.44927,-5
373,-5.88837,-5
374,-6.40674,-7
375,-7,-7
376,-7.66007,-7
377,-8.37527,-9
378,-9.13051,-9
379,-9.90769,-9
380,-10.6861,-11
381,-11.4432,-11
382,-12.1548,-13
383,-12.7963,-13
384,-13.3434,-13
385,-13.7725,-13
386,-14.0618,-15
387,-14.1921,-15
388,-14.1471,-15
389,-13.9146,-13
390,-13.4863,-13
391,-12.8587,-13
392,-12.0333,-13
393,-11.0161,-11
394,-9.81846,-9
395,-8.45615,-9
396,-6.94931,-7
397,-5.32192,-5
398,-3.60116,-3
399,-1.81672,-1
400,-2.84118e-14,-1
401,1.81672,1
402,3.60116,3
403,5.32192,5
404,6.94931,7
405,8.45615,9
406,9.81846,9
407,11.0161,11
408,12.0333,13
409,12.8587,13
410,13.4863,13
411,13.9146,13
412,14.1471,15
413,14.1921,15
414,14.0618,15
415,13.7725,13
416,13.3434,13
417,12.7963,13
418,12.1548,13
419,11.4432,11
420,10.6861,11
421,9.90769,9
422,9.13051,9
423,8.37527,9
424,7.66007,7
425,7,7
426,6.40674,7
427,5.88837,5
428,5.44927,5
429,5.09016,5
430,4.80828,5
431,4.59769,5
432,4.44963,5
433,4.35306,5
434,4.29514,5
435,4.26194,5
436,4.23896,5
437,4.21182,5
438,4.16688,5
439,4.09172,5
440,3.97574,3
441,3.81048,3
442,3.58998,3
443,3.31098,3
444,2.97299,3
445,2.57829,3
446,2.13177,3
447,1.64067,1
448,1.11426,1
449,0.563383,1
450,-2.20548e-14,-1
451,-0.563383,-1
452,-1.11426,-1
453,-1.64067,-1
454,-2.13177,-3
455,-2.57829,-3
456,-2.97299,-3
457,-3.31098,-3
458,-3.58998,-3
459,-3.81048,-3
460,-3.97574,-3
461,-4.09172,-5
462,-4.16688,-5
463,-4.21182,-5
464,-4.23896,-5
465,-4.26194,-5
466,-4.29514,-5
467,-4.35306,-5
468,-4.44963,-5
469,-4.59769,-5
470,-4.80828,-5
471,-5.09016,-5
472,-5.44927,-5
473,-5.88837,-5
474,-6.40674,-7
475,-7,-7
476,-7.66007,-7
477,-8.37527,-9
478,-9.13051,-9
479,-9.90769,-9
480,-10.6861,-11
481,-11.4432,-11
482,-12.1548,-13
483,-12.7963,-13
484,-13.3434,-13
485,-13.7725,-13
486,-14.0618,-15
487,-14.1921,-15
488,-14.1471,-15
489,-13.9146,-13
490,-13.4863,-13
491,-12.8587,-13
492,-12.0333,-13
493,-11.0161,-11
494,-9.81846,-9
495,-8.45615,-9
496,-6.94931,-7
497,-5.32192,-5
498,-3.60116,-3
499,-1.81672,-1
500,5.68558e-14,1
501,1.81672,1
502,3.60116,3
503,5.32192,5
504,6.94931,7
505,8.45615,9
506,9.81846,9
507,11.0161,11
508,12.0333,13
509,12.8587,13
510,13.4863,13
511,13.9146,13
512,14.1471,15
513,14.1921,15
514,14.0618,15
515,13.7725,13
516,13.3434,13
517,12.7963,13
518,12.1548,13
519,11.4432,11
520,10.6861,11
521,9.90769,9
522,9.13051,9
523,8.37527,9
524,7.66007,7
525,7,7
526,6.40674,7
527,5.88837,5
528,5.44927,5
529,5.09016,5
530,4.80828,5
531,4.59769,5
532,4.44963,5
533,4.35306,5
534,4.29514,5
535,4.26194,5
536,4.23896,5
537,4.21182,5
538,4.16688,5
539,4.09172,5
540,3.97574,3
541,3.81048,3
542,3.58998,3
543,3.31098,3
544,2.97299,3
545,2.57829,3
546,2.13177,3
547,1.64067,1
548,1.11426,1
549,0.563383,1
550,1.46586e-15,1
551,-0.563383,-1
552,-1.11426,-1
553,-1.64067,-1
554,-2.13177,-3
555,-2.57829,-3
556,-2.97299,-3
557,-3.31098,-3
558,-3.58998,-3
559,-3.81048,-3
560,-3.97574,-3
561,-4.09172,-5
562,-4.16688,-5
563,-4.21182,-5
564,-4.23896,-5
565,-4.26194,-5
566,-4.29514,-5
567,-4.35306,-5
568,-4.44963,-5
569,-4.59769,-5
570,-4.80828,-5
571,-5.09016,-5
572,-5.44927,-5
573,-5.88837,-5
574,-6.40674,-7
575,-7,-7
576,-7.66007,-7
577,-8.37527,-9
578,-9.13051,-9
579,-9.90769,-9
580,-10.6861,-11
581,-11.4432,-11
582,-12.1548,-13
583,-12.7963,-13
584,-13.3434,-13
585,-13.7725,-13
586,-14.0618,-15
587,-14.1921,-15
588,-14.1471,-15
589,-13.9146,-13
590,-13.4863,-13
591,-12.8587,-13
592,-12.0333,-13
593,-11.0161,-11
594,-9.81846,-9
595,-8.45615,-9
596,-6.94931,-7
597,-5.32192,-5
598,-3.60116,-3
599,-1.81672,-1
600,1.42123e-13,1
601,1.81672,1
602,3.60116,3
603,5.32192,5
604,6.94931,7
605,8.45615,9
606,9.81846,9
607,11.0161,11
608,12.0333,13
609,12.8587,13
610,13.4863,13
611,13.9146,13
612,14.1471,15
613,14.1921,15
614,14.0618,15
615,13.7725,13
616,13.3434,13
617,12.7963,13
618,12.1548,13
619,11.4432,11
620,10.6861,11
621,9.90769,9
622,9.13051,9
623,8.37527,9
624,7.66007,7
625,7,7
626,6.40674,7
627,5.88837,5
628,5.44927,5
629,5.09016,5
630,4.80828,5
631,4.59769,5
632,4.44963,5
633,4.35306,5
634,4.29514,5
635,4.26194,5
636,4.23896,5
637,4.21182,5
638,4.16688,5
639,4.09172,5
640,3.97574,3
641,3.81048,3
642,3.58998,3
643,3.31098,3
644,2.97299,3
645,2.57829,3
646,2.13177,3
647,1.64067,1
648,1.11426,1
649,0.563383,1
650,2.49865e-14,1
651,-0.563383,-1
652,-1.11426,-1
653,-1.64067,-1
654,-2.13177,-3
655,-2.57829,-3
656,-2.97299,-3
657,-3.31098,-3
658,-3.58998,-3
659,-3.81048,-3
660,-3.97574,-3
661,-4.09172,-5
662,-4.16688,-5
663,-4.21182,-5
664,-4.23896,-5
665,-4.26194,-5
666,-4.29514,-5
667,-4.35306,-5
668,-4.44963,-5
669,-4.59769,-5
670,-4.80828,-5
671,-5.09016,-5
672,-5.44927,-5
673,-5.88837,-5
674,-6.40674,-7
675,-7,-7
676,-7.66007,-7
677,-8.37527,-9
678,-9.13051,-9
679,-9.90769,-9
680,-10.6861,-11
681,-11.4432,-11
682,-12.1548,-13
683,-12.7963,-13
684,-13.3434,-13
685,-13.7725,-13
686,-14.0618,-15
687,-14.1921,-15
688,-14.1471,-15
689,-13.9146,-13
690,-13.4863,-13
691,-12.8587,-13
692,-12.0333,-13
693,-11.0161,-11
